时间,创意名称,创意ID,计划名称,计划ID,笔记/素材ID,笔记/素材链接,笔记标题,商品名称,spuId,营销场景,广告类型,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
合计5101条记录,-,-,-,-,-,-,-,-,-,-,-,197032.18,4088013,175329,4.29%,1.12,48.2,32949,5.98,1.19,1299,23008,8.56,2119,12770,15.43,37700,5.23,13969,14.1,2471,79.74,538094.61,2.73,2278,86.49,498074.71,2.53,1250,157.63,280647.03,1.42,1140,172.84,257651.53,1.31,34441,1926,413842.02
2026-02-06,商销通投托管-轻挺系列-自产-邪修-细节装饰（36+）-ROI-9.1-视频,2225522061,商销通投托管-轻挺系列-自产-邪修-细节装饰（36+）-ROI-9.1-视频,138313858,689d7c9b000000001c012acf,https://www.xiaohongshu.com/explore/689d7c9b000000001c012acf?xsec_token=WBK6DaQKnYMziIqRKneMY5J1rr7svT9c0TtUyROmNrvMM=&xsec_source=pc_wind_export,“邪修“大胸内衣，薄到隐形还防凸舒适,Wacoal超薄蕾丝聚拢不凸点内衣大码文胸WB3443+WB3543,6870db9364e96a0001db9d5f,商品推广x日常销售,通投,41.96,3044,70,2.3%,0.6,13.78,0,0.00,0.0,0,0,0.0,0,0,0.0,30,1.4,5,8.39,1,41.96,149.0,3.55,1,41.96,149.0,3.55,0,0.0,0.0,0.0,0,0.0,0.00,0.0,26,1,149.0
2026-02-06,商销通投托管-合集-官号-官宣-二次元（36+）-ROI-10.11,2558673921,商销通投托管-合集-官号-官宣-二次元（36+）-ROI-10.11,147401671,68e8ad6b00000000040040c8,https://www.xiaohongshu.com/explore/68e8ad6b00000000040040c8?xsec_token=WBhhYUBsWacszVm3zn_g0n6XL4K5LSL2TUEX4zmIhlKgI=&xsec_source=pc_wind_export,📣 官宣！华歌尔品牌代言人：美依礼芽,,,商品推广x日常销售,通投,3.52,39,1,2.56%,3.52,90.26,0,0.00,0.0,0,0,0.0,0,0,0.0,3,1.17,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,2,0,0.0
2026-02-06,商销通投托管-经典大胸-转载-真的显瘦-细节装饰（36+）-ROI-11.13,2874894136,商销通投托管-经典大胸-转载-真的显瘦-细节装饰（36+）-ROI-11.13,155384589,68d0f18e000000001101dccf,https://www.xiaohongshu.com/explore/68d0f18e000000001101dccf?xsec_token=WBNVJnAdMyKzDY1rQNiGN3k1pew564hwihSQVlESCgV6w=&xsec_source=pc_wind_export,秋冬显瘦不臃肿，这款内衣太懂大胸！,蓝标【胸越大 越显小】超薄全罩杯稳定承托性透气聚拢文胸WB8562,6789edbc2b5554001514e8f8,商品推广x日常销售,通投,64.60,4207,76,1.81%,0.85,15.36,0,0.00,0.0,0,0,0.0,0,0,0.0,28,2.31,9,7.18,1,64.6,149.0,2.31,1,64.6,149.0,2.31,0,0.0,0.0,0.0,0,0.0,0.00,0.0,26,1,149.0
2026-02-06,商销通投托管-救星杯-自产-下垂-细节装饰（36+）-ROI-12.11,3152811533,商销通投托管-救星杯-自产-下垂-细节装饰（36+）-ROI-12.11,162188125,68f5ee9300000000040131e3,https://www.xiaohongshu.com/explore/68f5ee9300000000040131e3?xsec_token=WBeoNwWoGnkVyzyxnuGKbggCubuuQ9pPDtWMse_wpNFMw=&xsec_source=pc_wind_export,外扩下垂有救了！大胸姐妹无限回购的神器！,【小美同款】胸垂救星Wacoal文胸蕾丝聚拢侧收副乳胸罩内衣,68778665417c3f00015c6097,商品推广x日常销售,通投,28.99,643,21,3.27%,1.38,45.09,0,0.00,0.0,0,0,0.0,0,0,0.0,8,3.62,6,4.83,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,7,0,0.0
2026-02-06,商销通投托管-糯糯杯小胸-自产-小胸姐妹-购买核心人群-ROI-12.11,3152862979,商销通投托管-糯糯杯小胸-自产-小胸姐妹-购买核心人群-ROI-12.11,162177838,69201e4c000000001e036b06,https://www.xiaohongshu.com/explore/69201e4c000000001e036b06?xsec_token=WBsLx2v_qa47Ng6mujFhK3gC6hMcsSf3oAzd8FjfI-_Cw=&xsec_source=pc_wind_export,小美亲选！小胸姐妹聚拢不空杯！,【小美同款】蓝标花影系列大胸显小款&小胸聚拢款WB14A4+WB84A4,6789edff6dd9a600157bdae8,商品推广x日常销售,通投,2.92,69,4,5.8%,0.73,42.32,0,0.00,0.0,0,0,0.0,0,0,0.0,3,0.97,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,3,0,0.0
2026-02-06,商销通投托管-波波杯-自产-长期主义内衣-细节装饰（36+）-ROI-12.11,3152866026,商销通投托管-波波杯-自产-长期主义内衣-细节装饰（36+）-ROI-12.11,162182781,69203a0d000000001e02cd40,https://www.xiaohongshu.com/explore/69203a0d000000001e02cd40?xsec_token=WBsLx2v_qa47Ng6mujFhK3gLXib7j0FcaG1qNa9lEhiUI=&xsec_source=pc_wind_export,美依礼芽同款内衣 属于秋冬的长期主义内衣,【小美同款】Wacoal文胸超薄蕾丝全罩杯胸罩大胸显小内衣女收副乳,68cd243934db2a00017574e0,商品推广x日常销售,通投,12.99,159,3,1.89%,4.33,81.7,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-02-06,商销通投托管-救星杯-自产-上身秒变-细节装饰（36+）-ROI-1.8,3445090687,商销通投托管-救星杯-自产-上身秒变-细节装饰（36+）-ROI-1.8,168075293,693bdab6000000001e039f41,https://www.xiaohongshu.com/explore/693bdab6000000001e039f41?xsec_token=WBjm_Vk_OLy4Vv6Y3gbf5UanNGtiIzSHdr9dVBVfrcsNI=&xsec_source=pc_wind_export,上身秒变蜜桃圆圆胸！好看又好穿！,【小美同款】胸垂救星Wacoal文胸蕾丝聚拢侧收副乳胸罩内衣,68778665417c3f00015c6097,商品推广x日常销售,通投,183.99,3592,286,7.96%,0.64,51.22,0,0.00,0.0,0,0,0.0,0,0,0.0,52,3.54,21,8.76,2,92.0,606.0,3.29,2,92.0,606.0,3.29,0,0.0,0.0,0.0,0,0.0,0.00,0.0,46,2,606.0
2026-02-06,商销通投托管-糯糯杯大胸-转载-初秋-细节装饰（36+）-ROI-1.21,3578805827,商销通投托管-糯糯杯大胸-转载-初秋-细节装饰（36+）-ROI-1.21,170828301,68ccac860000000011017183,https://www.xiaohongshu.com/explore/68ccac860000000011017183?xsec_token=WBzTegn_rZQUrYmYy6UlSg0aa9eEmZzcET3R2g4OsAo4Q=&xsec_source=pc_wind_export,秋冬内衣不将就，穿衣显瘦就选它！,【小美同款】蓝标花影系列大胸显小款&小胸聚拢款WB14A4+WB84A4,6789edff6dd9a600157bdae8,商品推广x日常销售,通投,5.65,265,8,3.02%,0.71,21.32,0,0.00,0.0,0,0,0.0,0,0,0.0,3,1.88,1,5.65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,3,0,0.0
2026-02-06,商销通投托管-经典大胸-自产-舒适高颜值-细节装饰（36+）-ROI-2.6,3731255353,商销通投托管-经典大胸-自产-舒适高颜值-细节装饰（36+）-ROI-2.6,174024557,6971eeec000000001a026b20,https://www.xiaohongshu.com/explore/6971eeec000000001a026b20?xsec_token=WBK5UzaV2TSqyVD1hx8ON_dthqcHlErykTgVrxTgODdZ8=&xsec_source=pc_wind_export,大胸天菜内衣，舒适高颜值～,蓝标【胸越大 越显小】超薄全罩杯稳定承托性透气聚拢文胸WB8562,6789edbc2b5554001514e8f8,商品推广x日常销售,通投,0.00,5,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
