创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
-,合计277条记录,-,-,-,-,-,-,-,-,-,-,-,-,152.29,3283,96,2.92%,1.59,46.39,0,0.00,0.0,0,0,0.0,0,0,0.0,42,3.63,10,15.23,2,76.15,298.0,1.96,2,76.15,298.0,1.96,0,0.0,0.0,0.0,0,0.0,0.00,0.0,38,2,298.0
4423723703,商销通投托管-粉底液-自产-聚拢又隐形-品牌人群-ROI-4.18,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69e207b2000000001e00c96a,5c6e75ba000000001201be11,视频笔记,6789ee790a6fff001550a3cf,商销通投托管-粉底液-自产-聚拢又隐形-品牌人群-ROI-4.18,187119616,2026-04-18 20:59:49,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4404630182,商销通投托管-小时光-自产-就爱上-细节装饰（36+）-ROI-4.17,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69e0a58c000000001e00e633,5c6e75ba000000001201be11,视频笔记,699e73edd5afea000119064a,商销通投托管-小时光-自产-就爱上-细节装饰（36+）-ROI-4.17,186696928,2026-04-17 09:21:11,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4394013685,商销通投托管-救星杯-自产-内衣太懂了-细节装饰（36+）-ROI-4.16,被计划暂停,审核拒绝,通投,商品7日总支付ROI,笔记（商品组件）,69cf1a140000000028009b6e,5c6e75ba000000001201be11,视频笔记,68778665417c3f00015c6097,商销通投托管-救星杯-自产-内衣太懂了-细节装饰（36+）-ROI-4.16,186479000,2026-04-16 12:59:57,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4393668647,商销通投托管-波波杯-自产-很曼妙（广）-细节装饰（36+）-ROI-4.16,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69ddb4dd000000001b002b1f,5c6e75ba000000001201be11,视频笔记,68cd243934db2a00017574e0,商销通投托管-波波杯-自产-很曼妙（广）-细节装饰（36+）-ROI-4.16,186473027,2026-04-16 12:05:23,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4356651076,商销通投托管-救星杯-自产-给到一个夯-细节装饰（36+）-ROI-4.13,被计划暂停,审核拒绝,通投,商品7日总支付ROI,笔记（商品组件）,69dc875d000000002301e647,5c6e75ba000000001201be11,视频笔记,68778665417c3f00015c6097,商销通投托管-救星杯-自产-给到一个夯-细节装饰（36+）-ROI-4.13,185715647,2026-04-13 14:14:45,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4356301389,商销通投托管-救星杯-自产-夯爆了（广）-品牌人群-ROI-4.13,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69dc839e00000000210136b7,5c6e75ba000000001201be11,视频笔记,687786bc4f80eb0001752b4a,商销通投托管-救星杯-自产-夯爆了（广）-品牌人群-ROI-4.13,185708880,2026-04-13 13:56:49,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4292998997,商销通投托管-救星杯-自产-跟着小美穿（广）-品牌人群-ROI-4.8,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69cf5d55000000001d01d697,5c6e75ba000000001201be11,视频笔记,687786bc4f80eb0001752b4a,商销通投托管-救星杯-自产-跟着小美穿（广）-品牌人群-ROI-4.8,184635427,2026-04-08 09:50:50,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4214905000,商销通投托管-经典大胸-转载-真的显瘦-品牌人群-ROI-2026.4.1,有效,审核通过,通投,商品7日总下单ROI,笔记（商品组件）,68d0f18e000000001101dccf,5c6e75ba000000001201be11,视频笔记,6789edbc2b5554001514e8f8,商销通投托管-经典大胸-转载-真的显瘦-品牌人群-ROI-2026.4.1,183514801,2026-04-01 13:57:15,24.37,643,15,2.33%,1.62,37.9,0,0.00,0.0,0,0,0.0,0,0,0.0,11,2.22,3,8.12,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,9,0,0.0
4155632202,商销通投托管-救星杯-自产-跪谢美依礼芽-品牌人群-ROI-3.27,被计划暂停,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b3c573000000002301ff82,5c6e75ba000000001201be11,视频笔记,68778665417c3f00015c6097,商销通投托管-救星杯-自产-跪谢美依礼芽-品牌人群-ROI-3.27,182619737,2026-03-27 11:02:37,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
