时间,创意名称,创意ID,计划名称,计划ID,笔记/素材ID,笔记/素材链接,笔记标题,商品名称,spuId,营销场景,广告类型,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
合计9206条记录,-,-,-,-,-,-,-,-,-,-,-,370783.53,2667486,114944,4.31%,3.23,139.0,14647,25.31,1.17,540,10598,34.99,1288,5612,66.07,10351,35.82,1495,248.02,543,682.84,895531.0,2.42,477,777.32,693465.0,1.87,309,1199.95,565688.0,1.53,273,1358.18,420371.00,1.13,9605,371,515582.0
2026-01-30,商品-小白选-合集款-品牌&行业兴趣人群-日弘-26.1.30,3667714192,商品-爆文合集-合集款-品牌&行业兴趣人群-日弘-26.1.30,172685755,67af0cf3000000002803797b,https://www.xiaohongshu.com/explore/67af0cf3000000002803797b?xsec_token=WBm5DfJrFQddPNffjkhmGr3ixcjhqcDZhBs3WAzOWjg3g=&xsec_source=pc_wind_export,燕窝保养选错＝补错！一篇让你找到品质燕窝,,,商品推广x日常销售,通投,7.12,18,3,16.67%,2.37,395.56,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-冤枉钱-合集款-品牌&行业兴趣人群-日弘-26.1.30,3667714193,商品-爆文合集-合集款-品牌&行业兴趣人群-日弘-26.1.30,172685755,684b88e4000000002100a26c,https://www.xiaohongshu.com/explore/684b88e4000000002100a26c?xsec_token=WBAIiiggHhqYcmOIU8OFCxTqDZxXhOnbeGJtR94dpfs7Y=&xsec_source=pc_wind_export,鲜炖燕窝选错＝白花钱！一篇教你怎么选！,,,商品推广x日常销售,通投,22.08,100,16,16.0%,1.38,220.8,0,0.00,0.0,0,0,0.0,0,0,0.0,1,22.08,1,22.08,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-燕窝新-合集款-品牌&行业兴趣人群-日弘-26.1.30,3667714194,商品-爆文合集-合集款-品牌&行业兴趣人群-日弘-26.1.30,172685755,6735ba5f000000003c015663,https://www.xiaohongshu.com/explore/6735ba5f000000003c015663?xsec_token=WBrN20tB5PNfwrRS2iS-bhS-IdOfS7kwpIVZQgoAH4Has=&xsec_source=pc_wind_export,燕窝新手不踩坑！认准这一篇就够了,,,商品推广x日常销售,通投,14.87,224,18,8.04%,0.83,66.38,0,0.00,0.0,0,0,0.0,0,0,0.0,1,14.87,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,1,0,0.0
2026-01-30,商品-燕窝也-合集款-品牌&行业兴趣人群-日弘-26.1.30,3667714195,商品-爆文合集-合集款-品牌&行业兴趣人群-日弘-26.1.30,172685755,672d88bf000000001d0385de,https://www.xiaohongshu.com/explore/672d88bf000000001d0385de?xsec_token=WBh7MmCvHnN1XOxEGdssjFjOaZNLr7X17EIMjcMCDv9Sg=&xsec_source=pc_wind_export,燕窝也要用心选！一篇讲透给纠结星人,,,商品推广x日常销售,通投,28.53,377,30,7.96%,0.95,75.68,0,0.00,0.0,0,0,0.0,0,0,0.0,2,14.27,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,2,0,0.0
2026-01-30,商品-sukrys_雪子-星光款-品牌&行业兴趣人群-达人-26.1.30,3668257772,商品-爆文合集-星光款-品牌&行业兴趣人群-26.1.30,172707578,691574ec000000000700a003,https://www.xiaohongshu.com/explore/691574ec000000000700a003?xsec_token=WBfE1DdnCZEpLgcllgB_W7vVQv4hFmXyGluCTvefAEPTM=&xsec_source=pc_wind_export,32岁博士妈妈分享｜燕窝到底怎么个事儿,,,商品推广x日常销售,通投,2.36,7,0,0.0%,0.0,337.14,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-葛子妮Nini-星光款-品牌&行业兴趣人群-达人-26.1.30,3668257773,商品-爆文合集-星光款-品牌&行业兴趣人群-26.1.30,172707578,6912ca5c0000000004017d53,https://www.xiaohongshu.com/explore/6912ca5c0000000004017d53?xsec_token=WBt4BBmuEdQ0evCBHy-PcWJwJCOcMA7b0YguwEHyj2YVg=&xsec_source=pc_wind_export,孕晚期越来越美 这期干货一定要看！,,,商品推广x日常销售,通投,8.44,26,0,0.0%,0.0,324.62,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-云卷云舒_转载-星光款-品牌&行业兴趣人群-官号-26.1.30,3668257774,商品-爆文合集-星光款-品牌&行业兴趣人群-26.1.30,172707578,68f9d0c70000000004016341,https://www.xiaohongshu.com/explore/68f9d0c70000000004016341?xsec_token=WBoBclBCHqKyBCZ6kYGnApybNMheizsEiYYt7yfMuQFAw=&xsec_source=pc_wind_export,怕产检不达标？我的孕期安心小秘诀,,,商品推广x日常销售,通投,4.95,12,0,0.0%,0.0,412.5,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-主持人柴猫礼-星光款-品牌&行业兴趣人群-达人-26.1.30,3668257775,商品-爆文合集-星光款-品牌&行业兴趣人群-26.1.30,172707578,694509e3000000001e034b3e,https://www.xiaohongshu.com/explore/694509e3000000001e034b3e?xsec_token=WB-Xll19w-FpMEWRY_4sHQSTD-PGnFiOOrwphkdtmT39s=&xsec_source=pc_wind_export,孕期总结｜孕早补剂三件套！亲测有效,,,商品推广x日常销售,通投,7.70,3,1,33.33%,7.7,2566.67,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-30,商品-宝妈亲测-星光款-品牌&行业兴趣人群-日弘-26.1.30-视频组,3668257776,商品-爆文合集-星光款-品牌&行业兴趣人群-26.1.30,172707578,68ede2560000000004028b00,https://www.xiaohongshu.com/explore/68ede2560000000004028b00?xsec_token=WBgiILrp-c9BK2LsuoyoOqd5UR43YjS-IvMhr5ag3biYo=&xsec_source=pc_wind_export,二胎宝妈亲测！孕期燕窝怎么选！,,,商品推广x日常销售,通投,0.75,3,0,0.0%,0.0,250.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
