创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
-,合计2465条记录,-,-,-,-,-,-,-,-,-,-,-,834.32,9877,244,2.47%,3.42,84.47,32,26.07,0.71,0,23,36.27,0,11,75.85,15,55.62,3,278.11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,14,0,0.0
4452193966,通投-试试小仙炖-星光款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e609d8000000001a027ea5,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,14.67,32,0,0.0%,0.0,458.44,2,7.34,0.03,0,0,0.0,0,0,0.0,1,14.67,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452193965,通投-打开新思路-青春款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbca0000000001a02bff8,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452193964,通投-中式滋补的魅力-星光款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e60724000000001a026e9f,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,0.70,16,1,6.25%,0.7,43.75,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452193963,通投-脸黄暗沉-青春款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbc4f0000000021039ba0,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452193962,通投-变美很简单-星光款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcb92a0000000022001c11,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,3.09,1,0,0.0%,0.0,3090.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452193961,通投-毫无压力-青春款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbb4d000000001a0220b9,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试2-多款-系统-26.4.21,187648259,2026-04-21 10:23:46,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4452131338,通投-我的变化-星光款-孕期滋补人群-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e60e65000000002102d398,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试1-星光款-孕期滋补人群-26.4.21,187653696,2026-04-21 10:19:21,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452131337,通投-牢牢稳住-星光款-孕期滋补人群-新号-26.4.21,审核状态异常,审核拒绝,通投,直播间直接支付ROI,笔记（直播组件）,69dcba940000000021013e2c,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试1-星光款-孕期滋补人群-26.4.21,187653696,2026-04-21 10:19:21,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4452131336,通投-就对了-星光款-孕期滋补人群-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e608ee000000002102f2b9,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试1-星光款-孕期滋补人群-26.4.21,187653696,2026-04-21 10:19:21,5.09,35,0,0.0%,0.0,145.43,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452131335,通投-回来了-星光款-孕期滋补人群-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbc070000000022002eff,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试1-星光款-孕期滋补人群-26.4.21,187653696,2026-04-21 10:19:21,3.03,2,1,50.0%,3.03,1515.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452131334,通投-一篇看-星光款-孕期滋补人群-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbaf9000000002102f769,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试1-星光款-孕期滋补人群-26.4.21,187653696,2026-04-21 10:19:21,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452070420,通投-套餐价格-青春款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcbbb7000000002102fc43,66f67e4c000000001d03127d,图文笔记,通投-新号笔记测试-多款-定向-26.4.21,187627956,2026-04-21 10:16:15,10.99,50,5,10.0%,2.2,219.8,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452121668,通投-换季有福利-星光款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e60978000000002103979c,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试-多款-定向-26.4.21,187627956,2026-04-21 10:14:34,30.14,34,1,2.94%,30.14,886.47,1,30.14,0.5,0,1,30.14,0,1,30.14,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4452121667,通投-就这么送-星光款-系统-新号-26.4.21,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcb8e3000000001a031a47,66f67e4c000000001d03127d,视频笔记,通投-新号笔记测试-多款-定向-26.4.21,187627956,2026-04-21 10:14:34,2.33,10,1,10.0%,2.33,233.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4439117607,通投-超大福利-星光款-系统-新号-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68ef797a0000000003020d04,66f67e4c000000001d03127d,视频笔记,通投-潜力笔记扩量2-星光款-系统-26.4.20,187325160,2026-04-20 10:52:23,155.75,102,0,0.0%,0.0,1526.96,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4439117606,通投-说点大实话-星光款-系统-新号-26.4.20,审核状态异常,审核拒绝,通投,直播间直接支付ROI,笔记（直播组件）,694d0203000000001e0052ff,66f67e4c000000001d03127d,图文笔记,通投-潜力笔记扩量2-星光款-系统-26.4.20,187325160,2026-04-20 10:52:23,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4439117605,通投-子申Spring-星光款-系统-达人-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6918813a00000000050390ba,66a4d8aa000000001d0310d4,视频笔记,通投-潜力笔记扩量2-星光款-系统-26.4.20,187325160,2026-04-20 10:52:23,1.65,9,0,0.0%,0.0,183.33,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4439117604,通投-云卷云舒_转载-星光款-系统-官号-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,68f9d0c70000000004016341,583691373460942ae8fc16bb,视频笔记,通投-潜力笔记扩量2-星光款-系统-26.4.20,187325160,2026-04-20 10:52:23,8.96,98,2,2.04%,4.48,91.43,1,8.96,0.05,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4439049780,通投-小白选（广）-合集款-系统-日弘-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6800c0fe0000000007035cf4,583691373460942ae8fc16bb,图文笔记,通投-潜力笔记扩量1-合集款-定向-26.4.20,187320001,2026-04-20 10:48:01,191.69,893,49,5.49%,3.91,214.66,6,31.95,1.24,0,4,47.92,0,2,95.85,4,47.92,1,191.69,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,4,0,0.0
4439049779,通投-懂行的-合集款-系统-日弘-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,66d7c90e000000001f03eb73,583691373460942ae8fc16bb,图文笔记,通投-潜力笔记扩量1-合集款-定向-26.4.20,187320001,2026-04-20 10:48:01,62.70,1342,31,2.31%,2.02,46.72,3,20.90,1.03,0,3,20.9,0,1,62.7,1,62.7,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,1,0,0.0
4439049778,通投-一篇搞懂-合集款-系统-日弘-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,697c0949000000002801dfff,66f67e4c000000001d03127d,图文笔记,通投-潜力笔记扩量1-合集款-定向-26.4.20,187320001,2026-04-20 10:48:01,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4438360389,通投-透亮清透感-青春款-系统-日弘-26.4.20,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e57c9b000000002300484c,66f67e4c000000001d03127d,图文笔记,通投-透亮清透感-青春款-系统-日弘-26.4.20,187306535,2026-04-20 09:17:53,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4423451357,通投-才知道章子怡-星光款-系统-日弘-26.4.18,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e1e237000000001a02eb94,66f67e4c000000001d03127d,视频笔记,通投-才知道章子怡-星光款-系统-日弘-26.4.18,187102898,2026-04-18 20:55:32,16.96,33,0,0.0%,0.0,513.94,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4423562497,通投-怀孕后才懂（新）-星光款-系统-日弘-26.4.18,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e0a9b2000000001a02faf3,66f67e4c000000001d03127d,视频笔记,通投-怀孕后才懂（新）-星光款-系统-日弘-26.4.18,187114058,2026-04-18 20:54:20,52.08,89,0,0.0%,0.0,585.17,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4382284787,通投-38节奢养-星光款-系统-日弘-26.4.15,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69a11739000000001a0293ea,66f67e4c000000001d03127d,图文笔记,通投-38节奢养-星光款-系统-日弘-26.4.15,186205613,2026-04-15 14:37:02,0.00,3,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4382238009,通投-好皮肤内调-青春款-系统-日弘-26.4.15,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69aa77b0000000000e03f7b1,66f67e4c000000001d03127d,图文笔记,通投-好皮肤内调-青春款-系统-日弘-26.4.15,186205560,2026-04-15 14:36:05,6.21,13,1,7.69%,6.21,477.69,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4366267597,通投-苏苏susu-星光款-定向-达人-26.4.14,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69bba5360000000022027948,56683fb6b8ce1a6b6dbb2cde,视频笔记,通投-苏苏susu-星光款-定向-达人-26.4.14,185907065,2026-04-14 10:34:11,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4359205440,通投-从容底气-星光款-定向-日弘-26.4.13,有效,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69dcb8dd000000002202511c,66f67e4c000000001d03127d,图文笔记,通投-从容底气-星光款-定向-日弘-26.4.13,185790594,2026-04-13 17:48:31,0.78,9,3,33.33%,0.26,86.67,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354584565,通投-怀孕后才懂-星光款-定向-日弘-26.4.13,被计划暂停,审核通过(私密),通投,直播间直接支付ROI,笔记（直播组件）,69dc556b0000000022029963,583691373460942ae8fc16bb,视频笔记,通投-怀孕后才懂-星光款-定向-日弘-26.4.13,185668583,2026-04-13 11:26:10,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354284376,通投-一只CC-星光款-孕期滋补人群-达人-26.4.13,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69ba64760000000021010453,5bd4479dd39b5e00019694d8,视频笔记,通投-达人新笔记测试3-多款-孕期滋补人群-26.4.13,185678847,2026-04-13 10:58:02,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354284375,通投-96年小福星-星光款-孕期滋补人群-达人-26.4.13,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69b15f75000000000b03676d,5d284336000000001002c1e6,图文笔记,通投-达人新笔记测试3-多款-孕期滋补人群-26.4.13,185678847,2026-04-13 10:58:02,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354284374,通投-肉泥Roni-星光款-孕期滋补人群-达人-26.4.13,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69c8a549000000002103b0ad,56191ad13f95a3019ad109a0,图文笔记,通投-达人新笔记测试3-多款-孕期滋补人群-26.4.13,185678847,2026-04-13 10:58:02,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
