创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
-,合计899条记录,-,-,-,-,-,-,-,-,-,-,-,3.57,22,1,4.55%,3.57,162.27,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4700327473,直播通投托管-直播笔记-自产-福利速抢-系统-ROI-5.11,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,690dbde0000000000402319f,5c6e75ba000000001201be11,视频笔记,直播通投托管-直播笔记-自产-福利速抢-系统-ROI-5.11,193329794,2026-05-11 13:45:49,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4700019207,直播通投托管-粉底液-自产-穿白T-系统-ROI-2026.5.11,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69eae508000000001f00153c,5c6e75ba000000001201be11,视频笔记,直播通投托管-粉底液-自产-穿白T-系统-ROI-2026.5.11,193329590,2026-05-11 13:43:03,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4569886865,直播通投托管-波波杯-混剪-轻盈好有型-直播人群-ROI-2026.4.30,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69eb19ac0000000022024a80,5c6e75ba000000001201be11,视频笔记,直播通投托管-波波杯-混剪-轻盈好有型-直播人群-ROI-2026.4.30,190559001,2026-04-30 15:06:27,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4492687545,直播通投托管-粉底液-自产-穿白T-直播人群-ROI-2026.4.24,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69eae508000000001f00153c,5c6e75ba000000001201be11,视频笔记,直播通投托管-粉底液-自产-穿白T-直播人群-ROI-2026.4.24,188562616,2026-04-24 11:54:45,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4492599274,直播通投托管-波波杯-混剪-优雅感-直播人群-ROI-2026.4.24,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e9ba0000000000230076d3,5c6e75ba000000001201be11,视频笔记,直播通投托管-波波杯-混剪-优雅感-直播人群-ROI-2026.4.24,188582327,2026-04-24 11:53:43,0.09,1,0,0.0%,0.0,90.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4457427862,直播通投托管-小时光-自产-就爱上-细节装饰（36+）-ROI-2026.4.21,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e598ca000000001f005abd,5c6e75ba000000001201be11,视频笔记,直播通投托管-小时光-自产-就爱上-细节装饰（36+）-ROI-2026.4.21,187802952,2026-04-21 17:15:39,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4423681464,直播通投托管-经典大胸-自产-谁说大胸-轻奢人群（36+）-ROI-4.18,被计划暂停,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,6971a091000000001a02d168,5c6e75ba000000001201be11,视频笔记,直播通投托管-经典大胸-自产-谁说大胸-轻奢人群（36+）-ROI-4.18,187119717,2026-04-18 21:04:29,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4423520289,直播通投托管-波波杯-自产-美依礼芽爆款-灵犀AIPS人群-ROI-2026.4.18,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69c4f796000000002800b278,5c6e75ba000000001201be11,视频笔记,直播通投托管-波波杯-自产-美依礼芽爆款-灵犀AIPS人群-ROI-2026.4.18,187114227,2026-04-18 21:02:54,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4423567969,直播通投托管-粉底液-自产-聚拢又隐形-直播人群-ROI-2026.4.18,计划处于暂停时段,审核通过,通投,直播间直接支付ROI,笔记（直播组件）,69e207b2000000001e00c96a,5c6e75ba000000001201be11,视频笔记,直播通投托管-粉底液-自产-聚拢又隐形-直播人群-ROI-2026.4.18,187119587,2026-04-18 20:58:38,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
