创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
-,合计380条记录,-,-,-,-,-,-,-,-,-,-,-,-,10.19,253,8,3.16%,1.27,40.28,0,0.00,0.0,0,0,0.0,0,0,0.0,1,10.19,1,10.19,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,1,0,0.0
4372080454,商品-从入门到奢护-合集款-系统-日弘-26.4.14,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c5dd2d000000002301450b,66f67e4c000000001d03127d,图文笔记,"5c174c4846283910db893fd5,6469daecdb9efc0001207e99,641adab9a510be00014ac88e",商品-从入门到奢护-合集款-系统-日弘-26.4.14,186047290,2026-04-14 17:37:47,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673227,商品-皮蛋没有蛋-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69aeabbf000000001503bbe3,61fce9330000000021021464,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.06,1,0,0.0%,0.0,60.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673226,商品-labi小羊-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69afbb2d000000000b034271,62b6a01c0000000015018e1e,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354673225,商品-可乐宇仔-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69aa8d0e000000001a0354fc,581a701250c4b452685f94bd,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.64,1,1,100.0%,0.64,640.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673224,商品-生活有点甜-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69ba567a0000000023012c11,68d4e5b200000000210245aa,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354673223,商品-有趣赖赖-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69aeabe9000000001b01f0dc,57d4f5a082ec390e1e6704dd,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673222,商品-图图饿了吗-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69ba3736000000002301dafe,5ba0f4f25239820001bc1e3d,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673221,商品-一朵小黄花-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b93b0a000000002200e247,5b12b1154eacab4d77df8c90,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673220,商品-苏菲在此-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69bd181b0000000022003f83,639ed99e0000000027029481,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354673219,商品-好的然然-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69afcce5000000001b0144ae,59e31b03d7c6fa6f7e3ce264,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,2,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354673218,商品-糯糯团粽子-青春款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69afe5750000000015032880,61962241000000001000b9b7,图文笔记,"5c174c4846283910db893fd5,687753efebefca0001245a52,687755e49e837400013625c9",商品-达人合集2-星光款-孕期人群-达人-26.4.13,185674018,2026-04-13 11:21:55,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354566062,商品-qiqi-青春款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b8ff09000000001b022265,6404c840000000001002670c,图文笔记,"5c174c4846283910db893fd5,687753efebefca0001245a52,674969bfa7f7b300017224be",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:14:45,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353553,商品-96年小福星-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b15f75000000000b03676d,5d284336000000001002c1e6,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354353552,商品-肉泥Roni-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c8a549000000002103b0ad,56191ad13f95a3019ad109a0,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353551,商品-米妮薇vivian-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69ca3ab700000000210385da,5acb813611be101ca9e1b649,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353550,商品-留学生小姐姐熊猫-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69aceea5000000001d0249e9,5cee6f2a000000001100140a,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353549,商品-奶酪小马-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69aa6be20000000015031a51,620f5a3d0000000021023bc4,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,1.01,3,1,33.33%,1.01,336.67,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354353548,商品-小马在北漂-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b16df9000000000600e8bc,6829796a000000000e01e70c,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354353547,商品-Melody麦老si-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69a8ff3f000000001a020133,5ac5d0e44eacab1367af07ba,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353546,商品-黄小-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c4f2fa000000002200077d,6380fd3c000000001f017543,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354353545,商品-航航妈咪的日常-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69b1615a000000000600ec5d,5e0c08720000000001008ea1,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353544,商品-妞妞公主-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c8ae2b000000001e00c06c,60572e71000000000100482c,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353542,商品-Hello哈喽公主-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c3c7470000000021005c58,5a6f40ef11be1063446a3e14,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353541,商品-一只琳琳兒-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c26e96000000001a024b1a,64f5f4f7000000000500281d,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4354353540,商品-一只CC-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69ba64760000000021010453,5bd4479dd39b5e00019694d8,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集3-星光款-孕期人群-达人-26.4.13,185673438,2026-04-13 11:10:43,0.00,1,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354547011,商品-尚狗歪-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c4995700000000230228c8,56aee317b8ce1a283a3f6d0e,视频笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集1-星光款-孕期人群-达人-26.4.13,185679220,2026-04-13 11:05:34,0.00,7,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4354547010,商品-一只小布丁-星光款-孕期人群-达人-26.4.13,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69c681fb000000001b02135c,65b9c4fe000000000e024de5,图文笔记,"5c09e20ed1d7ea5c745bea1d,5880416eab3eb404b8f40853,6469daecdb9efc0001207e99",商品-达人合集1-星光款-孕期人群-达人-26.4.13,185679220,2026-04-13 11:05:34,0.00,5,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
