时间,创意名称,创意ID,计划名称,计划ID,笔记/素材ID,笔记/素材链接,笔记标题,商品名称,spuId,营销场景,广告类型,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
合计12935条记录,-,-,-,-,-,-,-,-,-,-,-,2068191.63,8721241,208761,2.39%,9.91,237.14,35644,58.02,1.39,886,20164,102.57,9515,10482,197.31,17301,119.54,10588,195.33,2326,889.16,4509360.0,2.18,2116,977.41,4002048.0,1.94,1624,1273.52,3381870.0,1.64,1476,1401.21,2998045.00,1.45,14592,1433,2803520.0
-,笔记拓展合集,-,-,-,-,-,-,-,-,商品推广x日常销售,搜索,165.92,7764,345,4.44%,0.48,21.37,0,0.00,0.0,0,0,0.0,0,0,0.0,7,23.7,6,27.65,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,7,0,0.0
2026-01-01,智R搜索-不踩雷-横测笔记-系统-12.29,3342958892,智R搜索-不踩雷-横测笔记-系统-12.29,166171761,694b833a000000001e028ab0,https://www.xiaohongshu.com/explore/694b833a000000001e028ab0?xsec_token=WBgj0yPeQUb6dUnUcElLU7orijf8pkKrgAvjPTPknd3Eg=&xsec_source=pc_wind_export,快速逆袭！晓姿热门内服一篇讲清怎么选！,,,商品推广x日常销售,搜索,51.47,185,19,10.27%,2.71,278.22,0,0.00,0.0,0,0,0.0,0,0,0.0,4,12.87,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,3,0,0.0
2026-01-01,智R搜索-贵妇听劝-御三家-系统-12.30,3353513598,智R搜索-优质合集-御三家-系统-12.30,166424705,68f5a570000000000402ba94,https://www.xiaohongshu.com/explore/68f5a570000000000402ba94?xsec_token=WBVf0yD-igeSwPsde_rgoRpC1e_pdX1KHZYSbUxBUTBZ8=&xsec_source=pc_wind_export,👑贵妇听劝！熟龄肌进阶保养一套就够了!,,,商品推广x日常销售,搜索,0.00,16,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
2026-01-01,智R搜索-想要亮-御三家-系统-12.30,3353513599,智R搜索-优质合集-御三家-系统-12.30,166424705,690821b30000000004023e31,https://www.xiaohongshu.com/explore/690821b30000000004023e31?xsec_token=WByYZRGkTdSmExK0sYtzxhq2m1_WqpbGxULPhcR3BqB2c=&xsec_source=pc_wind_export,想要亮＋紧＋嫩？三步抓住青春密码！,,,商品推广x日常销售,搜索,91.62,162,14,8.64%,6.54,565.56,0,0.00,0.0,0,0,0.0,0,0,0.0,5,18.32,3,30.54,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,4,0,0.0
2026-01-01,智R搜索-老组合-御三家-系统-12.30,3353513600,智R搜索-优质合集-御三家-系统-12.30,166424705,69426863000000001f004043,https://www.xiaohongshu.com/explore/69426863000000001f004043?xsec_token=WBFujBO4wtxAZsfxWlYI_qL__pP4OcaNdrNJ2MsW_lmsE=&xsec_source=pc_wind_export,30+教科书级抗老组合，三剑客让你嫩回18！,,,商品推广x日常销售,搜索,10.00,14,1,7.14%,10.0,714.29,0,0.00,0.0,0,0,0.0,0,0,0.0,1,10.0,1,10.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,1,0,0.0
2026-01-01,智R搜索-智商税-御三家-系统-12.30,3353513601,智R搜索-优质合集-御三家-系统-12.30,166424705,691711330000000004013fdd,https://www.xiaohongshu.com/explore/691711330000000004013fdd?xsec_token=WBbGc1bfpnCj8VyQS3FhgzqjCKDPUtGFLZSN0V2emnvJw=&xsec_source=pc_wind_export,30+如何分层有效的K衰！帮你避开智商税,,,商品推广x日常销售,搜索,21.64,37,3,8.11%,7.21,584.86,0,0.00,0.0,0,0,0.0,0,0,0.0,3,7.21,1,21.64,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,3,0,0.0
2026-01-01,智R搜索-深扒晓-横测笔记-系统-12.31,3370930496,智R搜索-深扒晓-横测笔记-系统-12.31,166826190,68f9fee30000000005003593,https://www.xiaohongshu.com/explore/68f9fee30000000005003593?xsec_token=WB2rKOJ_yC6q-cRCxT_vdKgC8_besMoJ_Xc5Poa6ZKazk=&xsec_source=pc_wind_export,开春变美遇瓶颈？晓姿28天养出细嫩好状态,,,商品推广x日常销售,搜索,133.35,317,49,15.46%,2.72,420.66,0,0.00,0.0,0,0,0.0,0,0,0.0,3,44.45,2,66.68,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,3,0,0.0
2026-01-02,智R搜索-不踩雷-横测笔记-系统-12.29,3342958892,智R搜索-不踩雷-横测笔记-系统-12.29,166171761,694b833a000000001e028ab0,https://www.xiaohongshu.com/explore/694b833a000000001e028ab0?xsec_token=WBgj0yPeQUb6dUnUcElLU7orijf8pkKrgAvjPTPknd3Eg=&xsec_source=pc_wind_export,快速逆袭！晓姿热门内服一篇讲清怎么选！,,,商品推广x日常销售,搜索,95.11,313,22,7.03%,4.32,303.87,0,0.00,0.0,0,0,0.0,0,0,0.0,2,47.56,1,95.11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,2,0,0.0
2026-01-02,智R搜索-贵妇听劝-御三家-系统-12.30,3353513598,智R搜索-优质合集-御三家-系统-12.30,166424705,68f5a570000000000402ba94,https://www.xiaohongshu.com/explore/68f5a570000000000402ba94?xsec_token=WBVf0yD-igeSwPsde_rgoRpC1e_pdX1KHZYSbUxBUTBZ8=&xsec_source=pc_wind_export,👑贵妇听劝！熟龄肌进阶保养一套就够了!,,,商品推广x日常销售,搜索,10.00,33,1,3.03%,10.0,303.03,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
