创意ID,创意名称,创意状态,创意审核状态,广告类型,推广目标,创意类型,笔记/素材ID,作者ID,笔记类型,商品ID,计划名称,计划ID,创意创建时间,消费,展现量,点击量,点击率,平均点击成本,平均千次展示费用,直播间观看次数,直播间观看成本,直播间平均停留时长,直播间新增粉丝数量,直播间5s观看次数,直播间5s观看成本,直播间评论次数,直播间30s观看次数,直播间30s观看成本,7日总商品访客量,7日总商品访客成本,7日总商品加购量,7日总商品加购成本,7日总下单订单量,7日总下单订单成本,7日总下单金额,7日总下单ROI,7日总支付订单量,7日总支付订单成本,7日总支付金额,7日总支付ROI,直播间直接下单订单量,直播间直接下单订单成本,直播间直接下单金额,直播间直接下单ROI,直播间直接支付订单量,直播间直接支付订单成本,直播间直接支付金额,直播间直接支付ROI,店铺新客商品访问量,店铺新客支付订单量,店铺新客支付金额
-,合计1591条记录,-,-,-,-,-,-,-,-,-,-,-,-,565.67,2654,144,5.43%,3.93,213.14,11,51.42,0.17,0,7,80.81,0,0,0.0,4,141.42,1,565.67,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,4,0,0.0
4665233368,智R托管-君君来啦-AGXI-定向-26.5.8-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,692e9bcb000000001e0098ec,63ccb44700000000260068ba,图文笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-达人图文-AGXI-定向-26.5.8-达人直投,192576891,2026-05-08 17:40:41,9.88,34,4,11.76%,2.47,290.59,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4665233367,智R托管-美丽小玉-AGXI-定向-26.5.8-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69297a20000000001e0103f8,5b51c15ae8ac2b42933a7fb3,图文笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-达人图文-AGXI-定向-26.5.8-达人直投,192576891,2026-05-08 17:40:41,10.41,48,6,12.5%,1.74,216.88,1,10.41,0.2,0,1,10.41,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4645738187,智R托管-王鹤润rain-AGXI-系统-26.5.7-达人直投,审核状态异常,审核拒绝,通投,商品7日总支付ROI,笔记（商品组件）,69fac4f300000000360005ad,56d792871c07df14860fcc5a,视频笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-王鹤润rain-AGXI-系统-26.5.7-达人直投,192086809,2026-05-07 10:14:16,22.53,23,1,4.35%,22.53,979.57,1,22.53,0.1,0,1,22.53,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4635852263,智R托管-今天开心了没-光感白肌饮-系统-26.4.22-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69e08b2c000000001f00493b,63542425000000001802a63f,视频笔记,"67bd894629b9f70001b66fed,67a96f5af4fe140001803e33",智R托管-达人合集-光感白肌饮-系统-26.4.22-达人直投,187928942,2026-05-06 15:26:02,4.56,168,3,1.79%,1.52,27.14,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4635852262,智R托管-怎么吃不饱-光感白肌饮-系统-26.4.22-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69d8a51b000000002200d999,5ca4800d0000000016007b4f,图文笔记,"67bd894629b9f70001b66fed,67a96f5af4fe140001803e33",智R托管-达人合集-光感白肌饮-系统-26.4.22-达人直投,187928942,2026-05-06 15:26:02,1.01,158,9,5.7%,0.11,6.39,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4634746696,智R托管-周小闹-AGXI-系统-26.5.6-达人直投,审核状态异常,审核拒绝,通投,商品7日总支付ROI,笔记（商品组件）,69f1bd770000000036031d8a,5aeab9b8e8ac2b7fd2732a56,视频笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-周小闹-AGXI-系统-26.5.6-达人直投,191846654,2026-05-06 13:49:59,0.00,0,0,0.0%,0.0,0.0,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.00,0.0,0,0,0
4632889726,智R托管-小岁-AGXI-系统-26.5.6-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69cb3dbf00000000210054e7,634157fa000000001802ff07,视频笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-达人合集-AGXI-系统-26.5.6-达人直投,191773297,2026-05-06 10:36:34,0.02,59,2,3.39%,0.01,0.34,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4632889725,智R托管-小周快点用-AGXI-系统-26.5.6-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69cf6931000000001b001387,65fe80e1000000000b00c3e5,视频笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-达人合集-AGXI-系统-26.5.6-达人直投,191773297,2026-05-06 10:36:34,0.71,60,4,6.67%,0.18,11.83,0,0.00,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,0,0,0.0
4632889724,智R托管-乐芒果-AGXI-系统-26.5.6-达人直投,有效,审核通过,通投,商品7日总支付ROI,笔记（商品组件）,69cf569b0000000022003abc,67c680e6000000000a03c6ff,图文笔记,"67eb97e85d35ce0001a96c29,67f62ea104afe30001b8d8ed",智R托管-达人合集-AGXI-系统-26.5.6-达人直投,191773297,2026-05-06 10:36:34,85.94,235,16,6.81%,5.37,365.7,2,42.97,0.27,0,2,42.97,0,0,0.0,1,85.94,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.00,0.0,1,0,0.0
